version,dataset,max_depth,cv_training_time_ms,mean_cv_accuracy,std_cv_accuracy,fold1_acc,fold2_acc,fold3_acc,fold4_acc,warmup_runs,measurement_runs
serial_cv,cancer,1,0.0620,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225,1,1
serial_cv,cancer,2,771.0400,0.5999,0.0494,0.6596,0.5957,0.6203,0.5241,1,1
serial_cv,cancer,3,1327.0580,0.5853,0.0366,0.6330,0.5319,0.5775,0.5989,1,1
serial_cv,cancer,4,1633.7330,0.6400,0.0270,0.6809,0.6117,0.6471,0.6203,1,1
serial_cv,cancer,5,1938.1810,0.6707,0.0326,0.7021,0.6170,0.6898,0.6738,1,1
serial_cv,cancer,6,2183.1520,0.6761,0.0379,0.6862,0.6117,0.7059,0.7005,1,1
serial_cv,cancer,7,2368.9940,0.6653,0.0474,0.7234,0.5957,0.6898,0.6524,1,1
serial_cv,cancer,8,2548.9710,0.6693,0.0232,0.7074,0.6489,0.6684,0.6524,1,1
serial_cv,cancer,10,2749.9830,0.6760,0.0232,0.7128,0.6489,0.6684,0.6738,1,1
serial_cv,cancer,12,2830.8790,0.6760,0.0195,0.7074,0.6543,0.6684,0.6738,1,1
serial_cv,cancer,15,2923.8430,0.6773,0.0195,0.7074,0.6543,0.6684,0.6791,1,1
serial_cv,cancer,20,2883.6620,0.6773,0.0195,0.7074,0.6543,0.6684,0.6791,1,1
serial_cv,hmeq,1,0.1530,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175,1,1
serial_cv,hmeq,2,2853.2650,0.9283,0.0128,0.9176,0.9501,0.9245,0.9210,1,1
serial_cv,hmeq,3,5474.6750,0.9327,0.0096,0.9246,0.9489,0.9303,0.9268,1,1
serial_cv,hmeq,4,8640.4650,0.9364,0.0090,0.9281,0.9512,0.9361,0.9303,1,1
serial_cv,hmeq,5,11937.0820,0.9376,0.0090,0.9304,0.9524,0.9373,0.9303,1,1
serial_cv,hmeq,6,13128.5060,0.9370,0.0073,0.9304,0.9489,0.9373,0.9315,1,1
serial_cv,hmeq,7,16339.0910,0.9393,0.0080,0.9304,0.9524,0.9373,0.9373,1,1
serial_cv,hmeq,8,17467.3880,0.9396,0.0089,0.9339,0.9547,0.9326,0.9373,1,1
serial_cv,hmeq,10,21195.9240,0.9399,0.0075,0.9304,0.9512,0.9408,0.9373,1,1
serial_cv,hmeq,12,24385.8320,0.9405,0.0066,0.9316,0.9501,0.9408,0.9396,1,1
serial_cv,hmeq,15,27411.1920,0.9396,0.0074,0.9316,0.9501,0.9338,0.9431,1,1
serial_cv,hmeq,20,29346.6990,0.9341,0.0059,0.9258,0.9408,0.9315,0.9384,1,1
