version,dataset,max_depth,cv_time_ms,mean_cv_accuracy,std_cv_accuracy,fold1_acc,fold2_acc,fold3_acc,fold4_acc
parallel_cv,cancer,1,3.2770,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225
parallel_cv,cancer,2,581.6060,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225
parallel_cv,cancer,3,500.9050,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225
parallel_cv,cancer,4,649.3780,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225
parallel_cv,cancer,5,713.9800,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225
parallel_cv,cancer,10,553.0860,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225
parallel_cv,cancer,15,921.5680,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225
parallel_cv,cancer,20,466.7560,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225
parallel_cv,hmeq,1,92.0800,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175
parallel_cv,hmeq,2,2348.4770,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175
parallel_cv,hmeq,3,1829.1460,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175
parallel_cv,hmeq,4,1724.9210,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175
parallel_cv,hmeq,5,1737.9700,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175
parallel_cv,hmeq,10,1808.2260,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175
parallel_cv,hmeq,15,1754.2120,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175
parallel_cv,hmeq,20,1593.6430,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175

