version,dataset,max_depth,cv_time_ms,mean_cv_accuracy,std_cv_accuracy,fold1_acc,fold2_acc,fold3_acc,fold4_acc
serial_cv,cancer,1,9.1580,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225
serial_cv,cancer,2,2127.0460,0.5999,0.0494,0.6596,0.5957,0.6203,0.5241
serial_cv,cancer,3,1974.1380,0.5853,0.0366,0.6330,0.5319,0.5775,0.5989
serial_cv,cancer,4,2176.9020,0.6400,0.0270,0.6809,0.6117,0.6471,0.6203
serial_cv,cancer,5,2120.8470,0.6707,0.0326,0.7021,0.6170,0.6898,0.6738
serial_cv,cancer,10,2946.8790,0.6760,0.0232,0.7128,0.6489,0.6684,0.6738
serial_cv,cancer,15,3253.5280,0.6773,0.0195,0.7074,0.6543,0.6684,0.6791
serial_cv,cancer,20,3335.8300,0.6773,0.0195,0.7074,0.6543,0.6684,0.6791
serial_cv,hmeq,1,239.3350,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175
serial_cv,hmeq,2,4154.5480,0.9283,0.0128,0.9176,0.9501,0.9245,0.9210
serial_cv,hmeq,3,6917.6740,0.9327,0.0096,0.9246,0.9489,0.9303,0.9268
serial_cv,hmeq,4,9894.5800,0.9364,0.0090,0.9281,0.9512,0.9361,0.9303
serial_cv,hmeq,5,13111.2440,0.9376,0.0090,0.9304,0.9524,0.9373,0.9303
serial_cv,hmeq,10,25033.9590,0.9399,0.0075,0.9304,0.9512,0.9408,0.9373
serial_cv,hmeq,15,33945.5820,0.9396,0.0074,0.9316,0.9501,0.9338,0.9431
serial_cv,hmeq,20,34732.1890,0.9341,0.0059,0.9258,0.9408,0.9315,0.9384

